N,mean_fidelity_old,std_fidelity_old,mean_fidelity_new,std_fidelity_new
2,0.9410197902654908,0.0014861369645222619,0.9362875814305444,0.002434406576648912
4,0.8679043676893731,0.0038000477099359243,0.8881290651894369,0.0040134647353505465
8,0.7896039797785457,0.006519247055433198,0.8058513022516749,0.004601993574918236
16,0.7000732781562936,0.006621519514023374,0.7196497318654738,0.005858714625300403
