N,mean_fidelity_old,std_fidelity_old,mean_fidelity_new,std_fidelity_new
2,0.2700448545731017,0.04686981855203691,0.28860012410478875,0.05762461015613229
4,0.28786527754132396,0.02486183059765864,0.3345618817939258,0.04443564186367976
8,0.34573875934487475,0.014007293627135042,0.3137648744946086,0.03849333696357816
16,0.4160032095661831,0.00847127205263868,0.326539990121835,0.017391428614959018
32,0.4884425028495909,0.008463269643854703,0.3557951569225324,0.024426536077212273
64,0.5221321054211836,0.012534199897841101,0.39527158165482235,0.018018293373475037
